ID,Score,Client Type,Engagement,Title,Budget / Rate,Contact Channel,Direct Email,Calendly / Booking,Telegram / Handles,Action Link,Skills,Source,Discovered At
1589,88.0,UNKNOWN,HOURLY_CONTRACT,Digest Test Lead 3833dca6,Milestone Quote,SOURCE_LINK,,,,https://example.com/digest-3833dca6,Python,HN,2026-08-17 16:26
1536,88.0,UNKNOWN,HOURLY_CONTRACT,Digest Test Lead 597e9275,Milestone Quote,SOURCE_LINK,,,,https://example.com/digest-597e9275,Python,HN,2026-08-17 16:16
1561,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 3d83ee10,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-3d83ee10,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1560,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 102d1897,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-102d1897,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1559,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice c1df6db0,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-c1df6db0,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1558,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice f3428023,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-f3428023,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1557,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 63e891ef,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-63e891ef,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1556,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice ef8b1f1e,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-ef8b1f1e,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1555,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 387c0255,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-387c0255,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1554,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice ca3d2634,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-ca3d2634,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1553,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice ccea1196,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-ccea1196,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:25
1507,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 306a62ca,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-306a62ca,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1506,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice dc5b865c,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-dc5b865c,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1505,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 0fdf9010,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-0fdf9010,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1504,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 2e47356d,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-2e47356d,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1503,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 35412be0,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-35412be0,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1502,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 932a52ad,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-932a52ad,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1501,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice a8693ffe,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-a8693ffe,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1500,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 0e7b25f7,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-0e7b25f7,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1499,82.5,DIRECT_FOUNDER,HOURLY_CONTRACT,FastAPI & LangChain Microservice 08671697,"$4,500 USD",SOURCE_LINK,,,,https://example.com/api-test-job-08671697,"FastAPI, Python, LangChain",Hacker News,2026-08-17 16:15
1607,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,CrashLens Innovative Logo Redesign,$100 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/vector-design/CrashLens-Innovative-Logo-Redesign.html,,Freelancer,2026-08-17 16:44
1606,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,Toddler Animal Friendship Story,$750 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/editing/Toddler-Animal-Friendship-Story.html,,Freelancer,2026-08-17 16:44
1605,0.0,DIRECT_FOUNDER,HOURLY_CONTRACT,Animator Needed for 3D Character,$125 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/character-animation/Animator-Needed-for-Character.html,,Freelancer,2026-08-17 16:44
1604,0.0,DIRECT_FOUNDER,HOURLY_CONTRACT,Type Lecture Notes into MLA PDF,$125 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/copy-typing/Type-Lecture-Notes-into-MLA.html,,Freelancer,2026-08-17 16:44
1603,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,AutoCAD 2D Architectural Presentation,$750 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/2d-drafting/AutoCAD-Architectural-Presentation.html,,Freelancer,2026-08-17 16:44
1602,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,Telegram Channel Subscriber Boost,$250 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/marketing-strategy/Telegram-Channel-Subscriber-Boost.html,,Freelancer,2026-08-17 16:44
1601,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,Vehicle &amp; Trailer Magnet Design + Modular Licensing Graphics,$250 USD,SOURCE_LINK,,,,https://www.freelancer.com/projects/adobe-illustrator/Vehicle-Trailer-Magnet-Design-Modular.html,,Freelancer,2026-08-17 16:44
1600,0.0,DIRECT_FOUNDER,FIXED_MILESTONE,[URGENT] Bilingual B2B Cold Caller / SDR for High-Ticket Fractional Real Estate (Music Industry Niche),"$10,000 USD",SOURCE_LINK,,,,https://www.freelancer.com/projects/python/URGENT-Bilingual-Cold-Caller-SDR.html,Python,Freelancer,2026-08-17 16:44
